,spe,high,dbh,ew,sn
1,58,5.04,6.2,2.12,2.9
2,58,4.85,6,1.86,2.05
3,58,4.83,6.3,2.18,2.42
4,58,5.25,8,3.2,3.11
5,58,5.35,8,2.98,2.92
6,58,6.1,7.7,2.52,2.38
7,58,5.7,8.3,2.93,3.18
8,58,5.03,7,2.3,2.17
9,58,4.85,5.4,2.25,1.28
10,58,4.95,5.4,2.74,2.03
11,58,4.95,6.4,2.39,2
12,58,4.55,4.2,2.23,1.82
13,58,5,6,2.82,2.54
14,58,4.95,6,2.32,2.45
15,58,5.7,7.1,2.52,1.88
16,58,5.15,6.8,2.55,2.73
17,58,5.35,6.5,2,2.03
18,58,5.8,4.62,1.85,2.25
19,58,6.5,6.23,2.97,2.16
20,58,6.1,6.64,1.82,2.4
21,58,6.3,6.75,2.78,2.15
22,58,6.1,6.94,2.76,2.43
23,58,6.4,7.84,2.95,2.75
24,58,5.9,5.61,2.1,2.48
25,58,6.5,8.73,3.18,2.68
26,58,6,6.37,2.16,2.44
27,58,5.35,6.5,2.3,1.84
28,58,5.4,5.6,1.81,2.17
29,58,5.45,6,2.18,1.74
30,58,5.25,4.8,1.7,1.83
31,58,5.35,6,2.05,2.32
32,58,5.55,6.2,2,2.2
33,58,5.75,7,2.35,2.02
34,58,5.65,6,2.15,2.2
35,58,5.35,5.7,2.29,1.73
36,58,5.45,5.4,1.07,1.47
37,58,5.35,6.7,2.18,1.7
38,58,5.25,6.6,1.9,2.09
39,58,5.95,7.4,2.35,2
40,58,6.05,7.7,2.98,2.8
41,58,6.3,7.6,2.21,2.32
42,58,6.2,6.97,2.1,2.7
43,58,6.4,7.72,2.52,2.83
44,58,6.1,7.28,2.88,2.88
45,58,6.6,7.9,2.55,2.84
46,58,5.9,4.8,2.13,2.63
47,58,6.1,6.1,2.18,2.68
48,58,6.1,6.12,2.17,2.45
49,58,6.2,7.8,2.32,2.58
50,286,4.5,4.41,1.47,1.85
51,286,4.6,4.1,2.03,1.73
52,286,4.1,3.91,1.49,1.76
53,286,3.9,3.84,1.68,1.42
54,286,3.6,3.3,1.1,1.07
55,286,3.95,3.1,1.18,1.47
56,286,3.15,3.5,1.16,1.16
57,286,3.35,2.4,1.06,1.15
58,286,4.8,5.82,1.44,1.44
59,286,4.5,4.58,1.95,1.45
60,286,5.5,6.13,1.78,2.1
61,286,4,4.5,1.64,1.5
62,286,5.1,6.58,1.96,1.98
63,286,5.4,5.52,1.92,1.67
64,286,5,7.14,2.15,2.14
65,286,4.7,5.4,2.13,2.42
66,286,5.2,6.9,2.9,2.33
67,286,4.95,4.4,1.85,1.85
68,286,4.75,5.3,1.2,1.55
69,286,5.15,6.15,2.05,2.15
70,286,4.85,5.5,1.53,2.25
71,286,4.75,5.5,1.46,1.6
72,286,4.85,4.2,1.13,1.25
73,286,4.8,4.3,2.24,1.92
74,286,6.2,5.97,2.16,1.84
75,286,5.7,5.98,1.81,1.98
76,286,6.2,6.05,2.03,3.09
77,286,4.9,5.02,1.76,1.45
78,286,6.1,7.74,2.68,3.36
79,286,5.2,6.33,1.81,2.38
80,286,6.4,6.8,1.87,2.41
81,286,6,5.32,1.44,2.25
82,286,5.9,6.18,2.16,2.32
83,286,5.6,6.8,3.37,3.33
84,286,5.3,6.2,2.5,2.48
85,286,5.35,6.7,2.43,2.64
86,286,5.45,6.2,2.61,2.04
87,286,5.6,6,2.4,2.48
88,286,5.7,7,2.48,2.19
89,286,5.8,6.4,2.75,2.1
90,286,5.85,7.2,2.3,2.3
91,286,5.95,7,2.1,2.03
92,286,5.65,7.3,2.47,2.28
